Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_347:0000214,SdWid_M_mm,,Trial evaluation,Post-Harvest,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000212,Seed width,Morphological,The width of seeds.,,SdWid,,Seed,width,,,CO_347:0000213,Seed width - Measurement,Measurement,Measure seeds length and record it.,,,CO_347:0000015,mm,Numerical,,0,30,,,,,,,,,,,
,CO_347:0000218,StmCol_E_1to5,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000215,Stem color,Morphological,The color of stems.,,StmCol,,Stem,color,,,CO_347:0000216,Stem color - Estimation,Estimation,Observe stems color and rate it.,,,CO_347:0000217,1-5 Stem color scale,Nominal,,,,,1= Green,2= Pink,3= Mahogany,4= Red,5= Purple,,,,,
,CO_347:0000221,TRLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000219,Tertiary raceme length,Morphological,The length of tertiary raceme.,,TRLng,,Tertiary raceme,length,,,CO_347:0000220,Tertiary raceme length - Measurement,Measurement,Measure tertiary racemes length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000223,Emer_Date_ymd,,"Nursery evaluation, Trial evaluation",Emergence,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000002,Emergence time,Phenological,Emergence time is when the cotyledon appears above the soil surface.,,Emer,,Plant,emergence time,,,CO_347:0000222,Emergence date - Estimation,Estimation,Record date of emergence.,,,CO_347:0000016,yyymmdd,Date,,,,,,,,,,,,,,
,CO_347:0000225,Emer_DT_day,,"Nursery evaluation, Trial evaluation",Emergence,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000002,Emergence time,Phenological,Emergence time is when the cotyledon appears above the soil surface.,,Emer,,Plant,emergence time,,,CO_347:0000224,Days to emergence - Computation,Computation,Compute number of days required from sowing to emergence.,"Emer_Date_ymd - ""Planting_date_ymd""""""",,CO_347:0000017,day,Numerical,,,,,,,,,,,,,,
,CO_347:0000227,Flw_DateFirst_ymd,,"Nursery evaluation, Trial evaluation",Flowering,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000003,Flowering time,Phenological,Flowering time.,,Flw,,Plant,flowering time,,,CO_347:0000226,First flowering date - Estimation,Estimation,"Record date of first raceme at flowering, usually is the primary raceme.",,,CO_347:0000016,yyymmdd,Date,,,,,,,,,,,,,,
,CO_347:0000229,Flw_DTFirst_day,,"Nursery evaluation, Trial evaluation",Flowering,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000003,Flowering time,Phenological,Flowering time.,,Flw,,Plant,flowering time,,,CO_347:0000228,Days to first flowering - Computation,Computation,Compute number of days required from sowing (or emergence) to first raceme at flowering.,"Flw_Date_ymd - ""Emer_Date_ymd"" or ""Flw_Date_ymd"" - ""Planting_date_ymd""""""",,CO_347:0000017,day,Numerical,,,,,,,,,,,,,,
,CO_347:0000231,Mat_DatePR_day,,"Nursery evaluation, Trial evaluation",Maturity,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000004,Maturity time,Phenological,Maturity time.,,Mat,,Plant,maturity time,,,CO_347:0000230,Maturity date - Estimation,Computation,Record date of primary raceme maturity.,,,CO_347:0000017,day,Numerical,,,,,,,,,,,,,,
,CO_347:0000233,Mat_DTPR_day,,"Nursery evaluation, Trial evaluation",Maturity,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000004,Maturity time,Phenological,Maturity time.,,Mat,,Plant,maturity time,,,CO_347:0000232,Days to maturity - Computation,Computation,Compute number of days required from sowing (or emergence) to maturity.,"Mat_Date_ymd - ""Emer_Date_ymd"" or ""Mat_Date_ymd"" - ""Planting_date_ymd""""""",,CO_347:0000017,day,Numerical,,,,,,,,,,,,,,
,CO_347:0000237,Earliness_E_1to5,,"Nursery evaluation, Trial evaluation",Flowering,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000234,Plant earliness,Phenological,Plant earliness in primary raceme emergence.,,Earliness,,Plant,earliness,,,CO_347:0000235,Plant earliness - Estimation,Estimation,Observe plants earliness to raceme emergence and rate it.,,,CO_347:0000236,1-5 Earliness scale,Ordinal,,,,,1= very early (VE),2= early (E),3= moderate (M),4= late (L),5= very late (VL),,,,,
